,Topic,Words,Frequency,Timestamp
153,13,"nicaragua, cosep, cus, emergency, nicaraguan",23,1978.8
154,14,"da, silva, sao, paulo, metalworkers",12,1978.8
155,15,"codetel, sntt, dominican, visa, pichardo",11,1978.8
156,18,"lev, belleti, centrobanco, uruguay, washington",4,1978.8
157,19,"bemis, handal, honduras, fire, plant",9,1978.8
158,20,"sao, campo, paulo, diadema, consolidation",1,1978.8
159,21,"dam, itaip, hydroelectric, nurseries, paraguays",1,1978.8
160,22,"balboas, corip, sitraecoa, panama, eliduvino",2,1978.8
161,23,"bolivia, filemn, bolivian, altamirano, cob",6,1978.8
162,27,"aristides, th, orantes, ventura, februarymarch",5,1978.8
163,28,"directorgenerals, contacts, salvador, excellency, gallegos",5,1978.8
164,29,"fumh, fume, salary, colprosumahs, honduran",1,1978.8
165,30,"cath, simon, rmy, haiti, haitian",2,1978.8
166,-1,"kidnapping, sinatrac, textiles, universal, sctm",69,1982.4
167,0,"bustos, tile, asttel, messrs, icftu",82,1982.4
168,1,"vlvulas, grifos, garzn, gentil, revolving",12,1982.4
169,2,"cath, appointments, nonestablished, sintraidipron, idipron",9,1982.4
170,3,"uda, fund, coresponsibility, supplementary, assets",1,1982.4
171,4,"unregistered, disqualified, exclusive, zealand, choice",8,1982.4
172,5,"bartra, rabines, peru, calle, porras",11,1982.4
173,6,"ospv, viasa, aircraft, vianini, directorgeneralsrepresentative",2,1982.4
174,7,"chile, agech, chilean, santiago, bustos",33,1982.4
175,8,"disappeared, fasgua, kidnapped, whereabouts, urzar",15,1982.4
176,9,"fsr, cessa, salvador, cemento, incompetent",4,1982.4
177,11,"costa, rica, guzman, anep, guido",7,1982.4
178,12,"solidarity, banking, twoyears, poland, imprescriptable",4,1982.4
179,13,"cosep, nicaragua, cus, emergency, passport",18,1982.4
180,14,"sao, paulo, pernambuco, brazil, sugar",9,1982.4
181,15,"dominican, tile, indrhi, monetary, cut",11,1982.4
182,16,"ietel, ceosl, ecuador, culluctuc, ecuadorian",4,1982.4
183,18,"uruguay, pit, serpa, interunion, cocchi",7,1982.4
184,19,"colprosumah, sabio, honduras, unrecognised, wcotp",9,1982.4
185,20,"remunerations, undertakings, indexing, darricarrere, rend",2,1982.4
186,21,"paraguay, corazn, marcelino, spp, medina",13,1982.4
187,23,"bolivian, bolivias, bolivia, tin, cob",4,1982.4
188,25,"cuba, chaparra, spiritus, sancti, interceded",1,1982.4
189,27,"macavilca, luisa, mining, exhaltacin, valverde",4,1982.4
190,28,"contacts, jacobo, directorgenerals, salvador, excellency",12,1982.4
191,29,"school, educational, cabrel, reluz, aroz",1,1982.4
192,30,"cath, haiti, illtreatment, haitian, activists",2,1982.4
193,-1,"boyac, caldas, congress, leaderless, trustee",36,1986.0
194,0,"anta, unts, fenastras, murdered, fuss",52,1986.0
195,1,"ceballos, colombia, groups, murders, colombian",14,1986.0
196,2,"suavestimenta, clothing, precategorisation, abstentionist, abstention",2,1986.0
197,3,"missions, highways, roads, argentina, managerial",6,1986.0
198,4,"ioe, alegra, iniesep, cosep, nicaragua",7,1986.0
199,5,"peru, cantoral, cpv, consuelo, cgtp",14,1986.0
200,6,"ince, sutdi, fetrabin, venezuela, schedule",8,1986.0
201,7,"espnola, novara, otep, ozuna, canuta",1,1986.0
202,8,"doccident, banque, guatemala, thecomplainant, atomisation",7,1986.0
203,9,"censorship, fishing, salvadorea, cooperative, camaronera",3,1986.0
204,10,"reconvening, pitcnt, annima, councils, puma",2,1986.0
205,11,"solidarist, plebiscites, phenomena, rica, settlements",3,1986.0
206,12,"thelabour, confederational, labourauthority, salcedo, shifts",6,1986.0
207,13,"cosep, nicaragua, ioe, alegra, consultations",10,1986.0
208,14,"sao, paulo, pires, redonda, volta",6,1986.0
209,15,"sacks, deaths, hispaniola, ropes, fighting",2,1986.0
210,16,"inefos, ecuadorian, ecuador, fut, ceosl",5,1986.0
211,18,"pitcnt, cristaleras, uruguay, uruguayan, councils",3,1986.0
212,19,"pucallpa, peasants, cantoral, futh, sal",3,1986.0
213,20,"councils, fixing, page, quotation, uniondiscrimination",2,1986.0
214,21,"itapu, paraguay, apav, attendants, flight",6,1986.0
215,22,"panama, sitirhe, lastra, commerce, vallarino",3,1986.0
216,23,"hunger, exile, costofliving, bolivian, bolivia",1,1986.0
217,26,"farm, abduction, stiggs, cerj, bottling",1,1986.0
218,27,"salcedo, otep, espnola, paraguyan, capsa",5,1986.0
219,28,"contacts, cosep, ioe, solidarist, dispossessed",7,1986.0
220,-1,"farm, abduction, ranch, pastor, denunciation",52,1989.6
221,0,"abduction, inquiries, physical, sutep, farm",43,1989.6
222,1,"colombia, liquidation, utracun, cafetero, banco",17,1989.6
223,2,"solidarist, polymer, banks, banking, hondurea",2,1989.6
224,3,"argentine, argentina, mint, productivity, convertibility",20,1989.6
225,4,"solidarist, foetra, polymer, standardsetting, extension",17,1989.6
226,5,"peru, tr, peruvian, subsection, enapu",25,1989.6
227,6,"servivensa, ros, avensa, organic, venezuelan",11,1989.6
228,7,"fenats, sitracode, corporative, facilities, lateness",3,1989.6
229,8,"steg, camisas, modernas, guatemala, inbond",7,1989.6
230,9,"airport, cepa, sipes, port, salvador",1,1989.6
231,10,"piltex, manufacturas, renegotiation, inc, inssbi",4,1989.6
232,11,"solidarist, sitagah, geest, caribbean, costa",5,1989.6
233,12,"andean, tr, endangering, confined, event",4,1989.6
234,13,"ranch, anden, nicaragua, cosep, internacionales",7,1989.6
